dates,number_of_marriage
2022-12-22,10
2022-11-06,8
2022-06-13,11
2021-12-30,19
2020-04-30,15
2021-01-18,7
2019-12-19,11
2023-02-04,6
2019-12-05,11
2023-02-08,15
2019-03-29,9
2019-08-17,7
2023-08-01,10
2019-08-31,8
2022-11-02,13
2021-01-31,7
2020-05-01,10
2023-12-09,8
2020-05-09,6
2018-01-23,8
2021-03-23,8
2021-12-05,11
2022-03-24,11
2022-10-15,14
2021-07-09,10
2018-04-06,7
2018-08-02,9
2020-07-31,11
2020-07-26,8
2023-02-28,13
2019-02-26,15
2022-05-25,8
2019-08-05,10
2018-04-05,5
2021-07-12,13
2023-10-09,6
2020-08-18,9
2018-06-23,11
2022-07-16,6
2021-12-07,10
2020-03-21,10
2019-01-24,4
2023-04-18,10
2020-01-21,5
2019-09-01,10
2020-12-02,9
2018-05-18,9
2018-12-29,12
2023-04-15,10
2018-05-21,12
2022-03-15,11
2018-08-17,17
2022-07-08,8
2022-06-23,10
2019-10-20,4
2018-07-27,15
2020-06-18,9
2022-08-05,9
2023-06-24,8
2020-08-08,9
2023-08-02,14
2021-08-28,8
2022-07-24,11
2020-11-04,17
2020-05-20,11
2021-08-14,11
2020-05-05,13
2020-03-16,9
2019-02-02,13
2021-12-16,12
2018-09-23,9
2019-03-13,8
2021-05-25,11
2021-01-10,8
2022-10-04,8
2023-05-09,5
2020-10-29,4
2021-01-21,14
2021-06-07,7
2019-08-05,8
2018-06-02,12
2019-11-15,9
2020-03-25,13
2020-10-01,7
2021-02-08,12
2018-05-29,13
2020-01-17,9
2023-01-25,8
2018-10-18,10
2019-07-27,9
2022-06-29,10
2019-05-01,6
2019-12-31,6
2021-03-15,9
2022-12-01,13
2020-01-22,12
2019-09-21,9
2021-06-28,6
2023-12-04,13
2018-04-27,15
